Id,Start time,Completion time,Email,Name,What is your current academic year?,Are you a domestic or international student?,What is your sex?,Which sample did you prefer?,"Which sample would you identify as a ""Spencer Grill"" water?","Which sample would you identify as a ""Fountain"" water?",How confident are you in your choice?
3,5/4/2025 16:47,5/4/2025 16:49,anonymous,,Freshman,International student,Female,B,B,A,Confident
4,5/4/2025 16:50,5/4/2025 16:51,anonymous,,Junior,International student,Female,B,B,A,Somewhat confident
5,5/4/2025 18:00,5/4/2025 18:03,anonymous,,Freshman,International student,Male,B,B,A,Confident
6,5/4/2025 19:08,5/4/2025 19:09,anonymous,,Senior,Domestic student,Male,A,A,B,Somewhat confident
7,5/4/2025 19:11,5/4/2025 19:12,anonymous,,Freshman,Domestic student,Female,A,A,B,Somewhat confident
8,5/4/2025 19:13,5/4/2025 19:14,anonymous,,Freshman,Domestic student,Female,B,B,A,Confident
9,5/4/2025 19:17,5/4/2025 19:18,anonymous,,Junior,International student,Male,B,B,A,Confident
10,5/4/2025 19:19,5/4/2025 19:20,anonymous,,Freshman,Domestic student,Male,B,A,B,Somewhat confident
11,5/4/2025 19:23,5/4/2025 19:24,anonymous,,Senior,Domestic student,Female,A,A,B,Not confident
12,5/4/2025 19:23,5/4/2025 19:24,anonymous,,Senior,Domestic student,Female,B,B,A,Somewhat confident
13,5/4/2025 19:23,5/4/2025 19:24,anonymous,,Senior,International student,Female,B,B,A,Confident
14,5/4/2025 19:26,5/4/2025 19:27,anonymous,,Sophomore,Domestic student,Male,A,A,B,Somewhat confident
15,5/4/2025 19:33,5/4/2025 19:33,anonymous,,Senior,Domestic student,Male,A,A,A,Not confident
16,5/4/2025 19:35,5/4/2025 19:36,anonymous,,Freshman,Domestic student,Male,B,B,A,Confident
17,5/4/2025 19:35,5/4/2025 19:36,anonymous,,Junior,Domestic student,Female,B,B,A,Confident
18,5/4/2025 19:37,5/4/2025 19:38,anonymous,,Senior,Domestic student,Male,B,B,A,Somewhat confident
19,5/4/2025 19:37,5/4/2025 19:38,anonymous,,Junior,Domestic student,Female,A,A,B,Not confident
20,5/4/2025 19:40,5/4/2025 19:41,anonymous,,Sophomore,International student,Female,B,B,A,Confident
21,5/4/2025 19:44,5/4/2025 19:45,anonymous,,Sophomore,Domestic student,Male,B,A,B,Somewhat confident
22,5/4/2025 19:47,5/4/2025 19:48,anonymous,,Freshman,Domestic student,Male,B,B,A,Confident
23,5/4/2025 19:49,5/4/2025 19:50,anonymous,,Freshman,Domestic student,Female,A,A,B,Somewhat confident
24,5/4/2025 19:51,5/4/2025 19:51,anonymous,,Junior,Domestic student,Female,B,B,A,Confident
25,5/4/2025 19:53,5/4/2025 19:54,anonymous,,Freshman,Domestic student,Male,A,A,B,Somewhat confident
26,5/4/2025 19:54,5/4/2025 19:55,anonymous,,Freshman,Domestic student,Male,B,B,A,Confident
27,5/4/2025 19:59,5/4/2025 20:00,anonymous,,Senior,Domestic student,Female,A,A,B,Not confident
28,5/4/2025 19:59,5/4/2025 20:00,anonymous,,Senior,Domestic student,Female,A,A,B,Somewhat confident
29,5/4/2025 20:00,5/4/2025 20:02,anonymous,,Senior,Domestic student,Female,B,A,B,Somewhat confident
30,5/4/2025 20:14,5/4/2025 20:14,anonymous,,Sophomore,International student,Male,B,B,A,Somewhat confident
31,5/4/2025 20:14,5/4/2025 20:15,anonymous,,Sophomore,Domestic student,Female,A,A,B,Confident
32,5/4/2025 20:16,5/4/2025 20:17,anonymous,,Junior,Domestic student,Female,A,A,B,Somewhat confident
33,5/4/2025 20:19,5/4/2025 20:21,anonymous,,Sophomore,Domestic student,Female,A,A,B,Somewhat confident
34,5/4/2025 20:19,5/4/2025 20:21,anonymous,,Sophomore,Domestic student,Female,B,B,A,Somewhat confident
35,5/4/2025 20:19,5/4/2025 20:21,anonymous,,Sophomore,Domestic student,Male,A,A,B,Confident
36,5/4/2025 20:24,5/4/2025 20:25,anonymous,,Senior,International student,Male,A,A,B,Confident
37,5/4/2025 20:28,5/4/2025 20:29,anonymous,,Senior,Domestic student,Female,A,A,B,Confident
38,5/4/2025 20:28,5/4/2025 20:29,anonymous,,Junior,Domestic student,Female,A,A,B,Somewhat confident
39,5/4/2025 20:35,5/4/2025 20:36,anonymous,,Senior,Domestic student,Male,A,A,B,Not confident
40,5/4/2025 20:37,5/4/2025 20:38,anonymous,,Sophomore,Domestic student,Male,B,B,A,Not confident
41,5/4/2025 20:39,5/4/2025 20:40,anonymous,,Junior,International student,Female,A,A,B,Confident
42,5/4/2025 20:39,5/4/2025 20:40,anonymous,,Sophomore,Domestic student,Male,B,B,A,Somewhat confident
43,5/4/2025 20:42,5/4/2025 20:43,anonymous,,Freshman,International student,Female,A,B,A,Confident
44,5/4/2025 20:42,5/4/2025 20:44,anonymous,,Freshman,International student,Male,B,B,A,Confident
45,5/4/2025 20:42,5/4/2025 20:44,anonymous,,Freshman,Domestic student,Male,A,A,B,Confident
46,5/4/2025 20:45,5/4/2025 20:48,anonymous,,Freshman,Domestic student,Male,A,A,B,Confident
47,5/4/2025 20:49,5/4/2025 20:50,anonymous,,Junior,Domestic student,Male,A,A,B,Somewhat confident
48,5/4/2025 20:53,5/4/2025 20:54,anonymous,,Freshman,Domestic student,Female,A,A,B,Confident
49,5/4/2025 20:53,5/4/2025 20:54,anonymous,,Freshman,Domestic student,Male,A,B,A,Not confident
50,5/4/2025 20:53,5/4/2025 20:54,anonymous,,Freshman,Domestic student,Female,B,B,A,Not confident
51,5/4/2025 20:53,5/4/2025 20:54,anonymous,,Freshman,Domestic student,Female,B,B,A,Somewhat confident
52,5/4/2025 20:56,5/4/2025 20:58,anonymous,,Senior,Domestic student,Non-binary,B,B,A,Confident
53,5/4/2025 20:56,5/4/2025 20:58,anonymous,,Senior,Domestic student,Male,B,A,B,Not confident
54,5/4/2025 21:00,5/4/2025 21:01,anonymous,,Sophomore,Domestic student,Male,B,B,A,Somewhat confident
55,5/4/2025 21:02,5/4/2025 21:03,anonymous,,Sophomore,International student,Female,B,B,A,Not confident
56,5/4/2025 21:02,5/4/2025 21:04,anonymous,,Senior,International student,Male,B,B,A,Somewhat confident
